"TABLE_NAME","KEYS"
"ALY_CONTINUATIONRATEDETAIL_D","PAYCOUNT"
"ALY_CONTINUATIONRATEDETAIL_D","POLNO"
"ALY_DISMANTLE_DIFF","DATEID"
"ALY_DISMANTLE_DIFF","MANAGECOM"
"ALY_DROPOUTRATE_DIFF","AGENTGRADE"
"ALY_DROPOUTRATE_DIFF","DATEID"
"ALY_DROPOUTRATE_DIFF","EDUCATION"
"ALY_DROPOUTRATE_DIFF","EMPLYAGE"
"ALY_DROPOUTRATE_DIFF","HLFLAG"
"ALY_DROPOUTRATE_DIFF","INITGRADE"
"ALY_DROPOUTRATE_DIFF","MANAGECOM"
"ALY_EDORTIMEEFF_DIFF","CONTNO"
"ALY_EDORTIMEEFF_DIFF","EDORACCEPTNO"
"ALY_EDORTIMEEFF_DIFF","RISKCODE"
"ALY_FCBASICINFO_DIFF","EXPENSECLAIMNUM"
"ALY_GRPBUSINESSINFO_DIFF","GRPCONTNO"
"ALY_GRPBUSINESSINFO_DIFF","RISKCODE"
"ALY_GXDEALTIMEEFF_DIFF","PRTNO"
"ALY_GX_PERCAPITACAPACITY_DIFF","DATEID"
"ALY_GX_PERCAPITACAPACITY_DIFF","MANAGECOM"
"ALY_INDIRECTWAGERATE_DIFF","AGENTGRADE"
"ALY_INDIRECTWAGERATE_DIFF","DATEID"
"ALY_INDIRECTWAGERATE_DIFF","MANAGECOM"
"ALY_INSURANCEPOLICYRATE_DIFF","DATEID"
"ALY_INSURANCEPOLICYRATE_DIFF","MANAGECOM"
"ALY_INSURANCEPOLICYRATE_DIFF","RISKCODE"
"ALY_INSURANCEPOLICYRATE_DIFF","RISKTIME"
"ALY_INSURANCEPOLICYRATE_DIFF","SALECHNL"
"ALY_LAADDTIONLIST_DIFF","AGENTCODE"
"ALY_LAADDTIONLIST_DIFF","JKKFLAGCODE"
"ALY_LAADDTIONLIST_DIFF","JKKYEARMON"
"ALY_LAADVISERCOMMISIONDETAIL_D","AGENTCODE"
"ALY_LAADVISERCOMMISIONDETAIL_D","CHARGESYEARMON"
"ALY_LAADVISERCOMMISIONDETAIL_D","MANAGECOM"
"ALY_LAADVISERLIST_DIFF","SALESCODE"
"ALY_LAAGENTBONDDETAIL_DIFF","RECEIPTNO"
"ALY_LAAGENT_DIFF","AGENTCODE"
"ALY_LAASSESSDETAIL_DIFF","AGENTCODE"
"ALY_LAASSESSDETAIL_DIFF","ASSESSYM"
"ALY_LAASSESSRESULT_DIFF","AGENTCODE"
"ALY_LAASSESSRESULT_DIFF","EXAMYEARMON"
"ALY_LAASSESSRESULT_DIFF","MANAGECOM"
"ALY_LACOMLIST_DIFF","BANKCOMCODE"
"ALY_LACOMMISION","AGENTCODE"
"ALY_LACOMMISION","COMCODE"
"ALY_LACOMMISION","WAGENO"
"ALY_LACOMMISION_DIFF","AGENTCODE"
"ALY_LACOMMISION_DIFF","COMCODE"
"ALY_LACOMMISION_DIFF","WAGENO"
"ALY_LACONTINUEASSESS_DIFF","AGENTCODE"
"ALY_LACONTINUEASSESS_DIFF","CONTINUEYEARMON"
"ALY_LACONTINUEASSESS_DIFF","GRADE"
"ALY_LACONTINUEDETAIL_DIFF","AGENTCODE"
"ALY_LACONTINUEDETAIL_DIFF","CONTNO"
"ALY_LACONTINUEDETAIL_DIFF","RISKCODE"
"ALY_LACONTRESULTDETAIL_DIFF","AGENTCODE"
"ALY_LACONTRESULTDETAIL_DIFF","APPLYNO"
"ALY_LACONTRESULTDETAIL_DIFF","CONTNO"
"ALY_LACONTRESULTDETAIL_DIFF","NETWORKCODE"
"ALY_LACONTRESULTDETAIL_DIFF","RISKCODE"
"ALY_LACONTRESULTDETAIL_DIFF","WAGENO"
"ALY_LAFINAMANAGERDETAIL_DIFF","ACTPREM"
"ALY_LAFINAMANAGERDETAIL_DIFF","AGENTCODE"
"ALY_LAFINAMANAGERDETAIL_DIFF","CONTNO"
"ALY_LAFINAMANAGERDETAIL_DIFF","RISKCODE"
"ALY_LAFINAMANAGERDETAIL_DIFF","WAGENO"
"ALY_LAFINAMANAGERLIST_DIFF","AGENTCODE"
"ALY_LAFORMALASSESS_DIFF","AGENTCODE"
"ALY_LAFORMALASSESS_DIFF","BASLAWCODE"
"ALY_LAFORMALASSESS_DIFF","EXAMDATE"
"ALY_LAFORMALASSESS_DIFF","INDEXTYPE"
"ALY_LAGRPASSESS_DIFF","BUSICODE"
"ALY_LAGRPASSESS_DIFF","EXAMYEARMON"
"ALY_LAGRPATTENDANCE_DIFF","AGENTCODE"
"ALY_LAGRPATTENDANCE_DIFF","ATTENDYEARANDMONTH"
"ALY_LAGRPATTENDANCE_DIFF","MANAGECOM"
"ALY_LAGRPCONTRESULTLIST_DIFF","CONTNO"
"ALY_LAGRPCONTRESULTLIST_DIFF","RISKCODE"
"ALY_LAGRPCONTRESULTLIST_DIFF","SALESCODE"
"ALY_LAGRPCONTRESULTLIST_DIFF","WAGENO"
"ALY_LALEADERWAGEITEMDETAIL_D","AGENTCODE"
"ALY_LALEADERWAGEITEMDETAIL_D","BASLAWCODE"
"ALY_LALEADERWAGEITEMDETAIL_D","BRANCHCOMCODE"
"ALY_LALEADERWAGEITEMDETAIL_D","WAGECODE"
"ALY_LALEADERWAGEITEMDETAIL_D","WAGENO"
"ALY_LAMANUALRANKADJUST_DIFF","ADJDATE"
"ALY_LAMANUALRANKADJUST_DIFF","AGENTCODE"
"ALY_LAMANUALRANKADJUST_DIFF","GRPCODE"
"ALY_LAMANUALRANKADJUST_DIFF","MANAGECOM"
"ALY_LAPCJXRBONUSDETAIL_DIFF","AGENTCODE"
"ALY_LAPCJXRBONUSDETAIL_DIFF","MANAGECOM"
"ALY_LAPCJXRBONUSDETAIL_DIFF","WAGENO"
"ALY_LAPCREPORT_DIFF","AGENTCODE"
"ALY_LASZCOMMISIONDETAIL_DIFF","AGENTCODE"
"ALY_LASZCOMMISIONDETAIL_DIFF","MANAGECOM"
"ALY_LASZCOMMISIONDETAIL_DIFF","WAGENO"
"ALY_LAWAGELIST_DIFF","AGENTCODE"
"ALY_LAWAGELIST_DIFF","INDEXCALNO"
"ALY_LAZJAGENTCOMINFO_DIFF","AGENTCOM"
"ALY_LAZJAGENTINFO_DIFF","AGENTCODE"
"ALY_LCBNFLIST_DIFF","BNFIDNO"
"ALY_LCBNFLIST_DIFF","CONTNO"
"ALY_LCBNFLIST_DIFF","RISKCODE"
"ALY_LCCONTINUOUSSTATE_DIFF","CONTNO"
"ALY_LCCONTINUOUSSTATE_DIFF","RISKCODE"
"ALY_LCCONTLIST","CONTNO"
"ALY_LCCONTLIST","RISKCODE"
"ALY_LCCONTLIST_DIFF","CONTNO"
"ALY_LCCONTLIST_DIFF","RISKCODE"
"ALY_LCCONTRESULTLIST_DIFF","AGENTCODE"
"ALY_LCCONTRESULTLIST_DIFF","CONTNO"
"ALY_LCCONTRESULTLIST_DIFF","RISKCODE"
"ALY_LCCONTRESULTLIST_DIFF","WAGENO"
"ALY_LCCONTSTATE_DIFF","CONTNO"
"ALY_LCCONTSTATE_DIFF","POLNO"
"ALY_LCCONTSTATE_DIFF","STARTDATE"
"ALY_LCCONTSTATE_DIFF","STATE"
"ALY_LCGRPCONTDETAIL_DIFF","GRPCONTNO"
"ALY_LCGRPCONTDETAIL_DIFF","GRPPOLNO"
"ALY_LCGRPCONTLIST_DIFF","GRPCONTNO"
"ALY_LCGRPLISTDETAIL_DIFF","CONTNO"
"ALY_LCGRPLISTDETAIL_DIFF","POLNO"
"ALY_LCPOLTHIRDPAY_DIFF","INCOMENO"
"ALY_LCPOLTHIRDPAY_DIFF","PAYNO"
"ALY_LCRESULTLIST_DIFF","AGENTCODE"
"ALY_LCRESULTLIST_DIFF","YEARMONTH"
"ALY_LDCODE_DIFF","CODE"
"ALY_LDCODE_DIFF","CODETYPE"
"ALY_LDCOM_DIFF","COMCODE"
"ALY_LJAGET_DIFF","ACTUGETNO"
"ALY_LJAGET_DIFF","CONTNO"
"ALY_LJAGET_DIFF","RISKCODE"
"ALY_LJAPAY_DIFF","PAYMODECODE"
"ALY_LJAPAY_DIFF","PAYNO"
"ALY_LJAPAY_DIFF","RISKCODE"
"ALY_LJAPAY_DIFF","TEMPFEENO"
"ALY_LLCLIAMMONEY_DIFF","CLAIMNO"
"ALY_LLCLIAMMONEY_DIFF","GETDUTYNAME"
"ALY_LLCLIAMMONEY_DIFF","RISKCODE"
"ALY_LLCLMLIST_DIFF","CLMNO"
"ALY_LLCLMLIST_DIFF","CONTNO"
"ALY_LLCLMLIST_DIFF","GETDUTYNAME"
"ALY_LLCLMLIST_DIFF","RISKCODE"
"ALY_LLEXEMPTCASELIST_DIFF","CLMNO"
"ALY_LLEXEMPTCASELIST_DIFF","CONTNO"
"ALY_LLEXEMPTCASELIST_DIFF","RISKCODE"
"ALY_LLGIVENSG_DIFF","CONTNO"
"ALY_LLGIVENSG_DIFF","RISKCODE"
"ALY_LLGRPCLMLIST_DIFF","CLMNO"
"ALY_LLGRPCLMLIST_DIFF","CONTNO"
"ALY_LLGRPCLMLIST_DIFF","GETDUTYNAME"
"ALY_LLGRPCLMLIST_DIFF","GRPCONTNO"
"ALY_LLTAXCLMLIST_DIFF","CLMNO"
"ALY_LLTAXCLMLIST_DIFF","GETDUTYNAME"
"ALY_LPBUSSLIST_DIFF","CONTNO"
"ALY_LPBUSSLIST_DIFF","EDORACCEPTNO"
"ALY_LPCWTCONT_DIFF","CONTNO"
"ALY_LPCWTCONT_DIFF","RISKCODE"
"ALY_LPTHIRDACCLIST_DIFF","FEEFINATYPE"
"ALY_LPTHIRDACCLIST_DIFF","FEEOPERATIONTYPE"
"ALY_LPTHIRDACCLIST_DIFF","GETNOTICENO"
"ALY_LPTHIRDACCLIST_DIFF","PAYNO"
"ALY_LPTHIRDACCLIST_DIFF","RISKCODE"
"ALY_LPTHIRDACCLIST_DIFF","SHOULDDATE"
"ALY_LPXTLIST_DIFF","CONTNO"
"ALY_LPXTLIST_DIFF","RISKCODE"
"ALY_LXIHTRADELIST_DIFF","DEALNO"
"ALY_LXISTRADELIST_DIFF","DEALNO"
"ALY_LXISTRADELIST_DIFF","LISTNO"
"ALY_LZCARDGENERQUERY_DIFF","CERTIFYCODE"
"ALY_LZCARDGENERQUERY_DIFF","YEARMONTH"
"ALY_LZCARDINFOQUERY_DIFF","CERTIFYCODE"
"ALY_LZCARDINFOQUERY_DIFF","ENDNO"
"ALY_LZCARDINFOQUERY_DIFF","RECEIVECOM"
"ALY_LZCARDINFOQUERY_DIFF","SENDOUTCOM"
"ALY_LZCARDINFOQUERY_DIFF","STARTNO"
"ALY_NETWORKACTIVITYRATE_DIFF","AGENTCOM"
"ALY_NETWORKACTIVITYRATE_DIFF","DATEID"
"ALY_NOUWCONTLIST_DIFF","PRTNO"
"ALY_NOUWCONTLIST_DIFF","RISKCODE"
"ALY_PAYDETAIL_DIFF","ACCOUNTNO"
"ALY_PAYDETAIL_DIFF","EXPENSECLAIMNUM"
"ALY_PROBLEMPIECESLIST_DIFF","CONTNO"
"ALY_PROBLEMPIECESLIST_DIFF","POLNO"
"ALY_PROMOTIONRATEDETAIL_DIFF","AGENTCODE"
"ALY_PROMOTIONRATEDETAIL_DIFF","INDEXCALNO"
"ALY_PROTECTRATE_DIFF","AGENTGRADE"
"ALY_PROTECTRATE_DIFF","DATEID"
"ALY_PROTECTRATE_DIFF","MANAGECOM"
"ALY_REIMDETAIL_DIFF","EXPENSECLAIMNUM"
"ALY_REIMDETAIL_DIFF","ITEMCODE"
"ALY_RETENTIONRATEDETAIL_DIFF","AGENTCODE"
"ALY_RETENTIONRATEDETAIL_DIFF","INDEXCALNO"
"ALY_RNPAYLIST_DIFF","CONTNO"
"ALY_RNPAYLIST_DIFF","RISKCODE"
"ALY_SPECIRATE_DIFF","AGENTGRADE"
"ALY_SPECIRATE_DIFF","DATEID"
"ALY_SPECIRATE_DIFF","MANAGECOM"
"ALY_SUMSUBJECT_DIFF","ITEM"
"ALY_SUMSUBJECT_DIFF","MANAGECOMCODE"
"ALY_SUMSUBJECT_DIFF","PERIODNAME"
"ALY_SXGW_AGENTINFO_DIFF","AGENTCODE"
"ALY_SXGW_PERSONLIST_DIFF","MANAGECOM"
"ALY_SYSGRADEMENU_DIFF","MENUGRPCODE"
"ALY_SYSGRADEMENU_DIFF","USERCODE"
"ALY_SZ_PERCAPITACAPACITY_DIFF","DATEID"
"ALY_SZ_PERCAPITACAPACITY_DIFF","MANAGECOM"
"ALY_TEAMINDEX_DIFF","DATEID"
"ALY_TEAMINDEX_DIFF","MANAGECOM"
"ALY_TJCUSTOMERLIST_DIFF","CONTNO"
"ALY_UWCANCELPRLIST_DIFF","CONTNO"
"ALY_UWCANCELPRLIST_DIFF","RISKCODE"
"ALY_VOUCHERDETAIL_DIFF","JEID"
"ALY_VOUCHERDETAIL_DIFF","JELINENUM"
"ALY_WAGERATE_DIFF","AGENTGRADE"
"ALY_WAGERATE_DIFF","DATEID"
"ALY_WAGERATE_DIFF","MANAGECOM"
"ALY_YBTZLHXRATE_DIFF","DEPARTMENT"
"ALY_YBTZLHXRATE_DIFF","MANAGECOM"
"ALY_YBTZLHXRATE_DIFF","POLAPPLYDATE"
"ALY_YBTZLHXRATE_DIFF","RISKTYPE"
"ALY_YBTZLHXRATE_DIFF","SELLTYPE"
"ALY_YBTZLHXRATE_DIFF","YWTYPE"
"ALY_YJTFLIST_DIFF","CONTNO"
"DM_PAYEVENT_DIFF","DATEID"
"DM_PAYEVENT_DIFF","FEETYPE"
"DM_PAYEVENT_DIFF","POLNO"
"DM_PRODUCTTB_LIST_DIFF","CONTNO"
"DM_PRODUCTTB_LIST_DIFF","POLNO"
"D_AGENTGROUP_DIFF","AGENTGROUP"
"D_AGENT_DIFF","AGENTCODE"
"NJY4_DIFF","CONTNO"
"NJY4_DIFF","POLNO"
